NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,R6,R7,BOLSA,FECHA
1,4165,12,23,34,45,56,7,10,50000000,15/07/2025
1,4164,8,19,27,38,49,52,3,45000000,12/07/2025
1,4163,4,15,26,37,48,51,9,40000000,10/07/2025
1,4162,11,22,33,44,55,6,14,35000000,08/07/2025
1,4161,7,18,29,40,51,2,16,30000000,05/07/2025
1,4160,3,14,25,36,47,54,8,25000000,03/07/2025
1,4159,10,21,32,43,54,5,12,20000000,01/07/2025
1,4158,6,17,28,39,50,1,13,15000000,28/06/2025
1,4157,2,13,24,35,46,53,11,10000000,26/06/2025
1,4156,9,20,31,42,53,4,15,9000000,24/06/2025
1,4155,5,16,27,38,49,56,7,8000000,21/06/2025
1,4154,1,12,23,34,45,52,10,7000000,19/06/2025
1,4153,8,19,30,41,52,3,14,6000000,17/06/2025
1,4152,4,15,26,37,48,55,9,5000000,14/06/2025
1,4151,11,22,33,44,55,6,16,4000000,12/06/2025
1,4150,7,18,29,40,51,2,13,3000000,10/06/2025
1,4149,3,14,25,36,47,54,8,2000000,07/06/2025
1,4148,10,21,32,43,54,5,11,1000000,05/06/2025
1,4147,6,17,28,39,50,1,12,900000,03/06/2025
1,4146,2,13,24,35,46,53,15,800000,31/05/2025
1,4145,9,20,31,42,53,4,7,700000,29/05/2025
1,4144,5,16,27,38,49,56,10,600000,27/05/2025
1,4143,1,12,23,34,45,52,14,500000,24/05/2025
1,4142,8,19,30,41,52,3,9,400000,22/05/2025
1,4141,4,15,26,37,48,55,16,300000,20/05/2025
1,4140,11,22,33,44,55,6,13,200000,17/05/2025
1,4139,7,18,29,40,51,2,8,100000,15/05/2025
1,4138,3,14,25,36,47,54,11,90000,13/05/2025
1,4137,10,21,32,43,54,5,12,80000,10/05/2025
1,4136,6,17,28,39,50,1,15,70000,08/05/2025
1,4135,2,13,24,35,46,53,7,60000,06/05/2025
1,4134,9,20,31,42,53,4,10,50000,03/05/2025
1,4133,5,16,27,38,49,56,14,40000,01/05/2025
