NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,R6,BOLSA,FECHA
2,3165,5,16,27,38,49,22,2000000,15/07/2025
2,3164,9,20,31,42,53,18,1900000,12/07/2025
2,3163,1,12,23,34,45,7,1800000,10/07/2025
2,3162,8,19,30,41,52,14,1700000,08/07/2025
2,3161,4,15,26,37,48,25,1600000,05/07/2025
2,3160,11,22,33,44,55,3,1500000,03/07/2025
2,3159,7,18,29,40,51,16,1400000,01/07/2025
2,3158,3,14,25,36,47,9,1300000,28/06/2025
2,3157,10,21,32,43,54,21,1200000,26/06/2025
2,3156,6,17,28,39,50,13,1100000,24/06/2025
2,3155,2,13,24,35,46,5,1000000,21/06/2025
2,3154,9,20,31,42,53,18,900000,19/06/2025
2,3153,5,16,27,38,49,22,800000,17/06/2025
2,3152,1,12,23,34,45,7,700000,14/06/2025
2,3151,8,19,30,41,52,14,600000,12/06/2025
2,3150,4,15,26,37,48,25,500000,10/06/2025
2,3149,11,22,33,44,55,3,400000,07/06/2025
2,3148,7,18,29,40,51,16,300000,05/06/2025
2,3147,3,14,25,36,47,9,200000,03/06/2025
2,3146,10,21,32,43,54,21,100000,31/05/2025
2,3145,6,17,28,39,50,13,90000,29/05/2025
2,3144,2,13,24,35,46,5,80000,27/05/2025
2,3143,9,20,31,42,53,18,70000,24/05/2025
2,3142,5,16,27,38,49,22,60000,22/05/2025
2,3141,1,12,23,34,45,7,50000,20/05/2025
2,3140,8,19,30,41,52,14,40000,17/05/2025
2,3139,4,15,26,37,48,25,30000,15/05/2025
2,3138,11,22,33,44,55,3,20000,13/05/2025
2,3137,7,18,29,40,51,16,10000,10/05/2025
2,3136,3,14,25,36,47,9,9000,08/05/2025
2,3135,10,21,32,43,54,21,8000,06/05/2025
2,3134,6,17,28,39,50,13,7000,03/05/2025
2,3133,2,13,24,35,46,5,6000,01/05/2025
