Date,Sorteo,Tipo,Num1,Num2,Num3,Num4,Num5,Num6
2025-07-13,Revanchita,Revanchita,7,21,35,52,53,56
2025-07-11,Revanchita,Revanchita,8,20,27,30,31,49
2025-07-09,Revanchita,Revanchita,4,6,15,19,38,45
2025-07-06,Revanchita,Revanchita,11,19,32,33,44,46
2025-07-04,Revanchita,Revanchita,1,7,19,32,40,47
2025-07-02,Revanchita,Revanchita,1,19,33,34,36,47
2025-06-29,Revanchita,Revanchita,9,20,37,47,50,52
2025-06-27,Revanchita,Revanchita,1,15,19,35,36,49
2025-06-25,Revanchita,Revanchita,17,24,26,31,39,51
2025-06-22,Revanchita,Revanchita,21,22,36,39,54,55
2025-06-20,Revanchita,Revanchita,24,29,30,31,47,53
2025-06-18,Revanchita,Revanchita,9,15,31,40,45,50
2025-06-15,Revanchita,Revanchita,1,17,18,33,46,49
2025-06-13,Revanchita,Revanchita,20,22,24,33,48,50
2025-06-11,Revanchita,Revanchita,7,27,42,44,55,56
2025-06-08,Revanchita,Revanchita,7,20,27,35,38,48
2025-06-06,Revanchita,Revanchita,1,5,7,23,38,42
2025-06-04,Revanchita,Revanchita,3,6,18,29,48,53
2025-06-01,Revanchita,Revanchita,4,37,40,44,49,56
2025-05-30,Revanchita,Revanchita,9,26,38,40,46,55
2025-05-28,Revanchita,Revanchita,1,7,30,31,49,54
2025-05-25,Revanchita,Revanchita,10,23,29,38,41,50
2025-05-23,Revanchita,Revanchita,3,6,11,36,42,46
2025-05-21,Revanchita,Revanchita,10,21,35,45,48,53
2025-05-18,Revanchita,Revanchita,2,14,40,45,49,53
2025-05-16,Revanchita,Revanchita,18,33,36,40,48,52
2025-05-14,Revanchita,Revanchita,21,27,29,30,45,48
2025-05-11,Revanchita,Revanchita,4,29,35,41,52,55
2025-05-09,Revanchita,Revanchita,8,12,16,46,47,52
2025-05-07,Revanchita,Revanchita,2,14,17,20,21,33
2025-05-04,Revanchita,Revanchita,29,33,36,42,44,46
2025-05-02,Revanchita,Revanchita,23,42,44,47,50,51
2025-04-30,Revanchita,Revanchita,1,10,16,21,29,50
2025-04-27,Revanchita,Revanchita,14,22,28,42,52,55
2025-04-25,Revanchita,Revanchita,14,27,33,39,50,56
2025-04-23,Revanchita,Revanchita,3,9,14,30,32,43
2025-04-20,Revanchita,Revanchita,1,2,20,40,46,48
2025-04-18,Revanchita,Revanchita,9,20,23,25,53,54
2025-04-16,Revanchita,Revanchita,4,18,25,40,41,44
2025-04-13,Revanchita,Revanchita,11,13,17,23,42,50
