NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,R6,BOLSA,FECHA
3,2165,8,19,30,41,52,11,500000,15/07/2025
3,2164,4,15,26,37,48,23,490000,12/07/2025
3,2163,11,22,33,44,55,6,480000,10/07/2025
3,2162,7,18,29,40,51,17,470000,08/07/2025
3,2161,3,14,25,36,47,9,460000,05/07/2025
3,2160,10,21,32,43,54,21,450000,03/07/2025
3,2159,6,17,28,39,50,13,440000,01/07/2025
3,2158,2,13,24,35,46,5,430000,28/06/2025
3,2157,9,20,31,42,53,18,420000,26/06/2025
3,2156,5,16,27,38,49,22,410000,24/06/2025
3,2155,1,12,23,34,45,7,400000,21/06/2025
3,2154,8,19,30,41,52,14,390000,19/06/2025
3,2153,4,15,26,37,48,25,380000,17/06/2025
3,2152,11,22,33,44,55,3,370000,14/06/2025
3,2151,7,18,29,40,51,16,360000,12/06/2025
3,2150,3,14,25,36,47,9,350000,10/06/2025
3,2149,10,21,32,43,54,21,340000,07/06/2025
3,2148,6,17,28,39,50,13,330000,05/06/2025
3,2147,2,13,24,35,46,5,320000,03/06/2025
3,2146,9,20,31,42,53,18,310000,31/05/2025
3,2145,5,16,27,38,49,22,300000,29/05/2025
3,2144,1,12,23,34,45,7,290000,27/05/2025
3,2143,8,19,30,41,52,14,280000,24/05/2025
3,2142,4,15,26,37,48,25,270000,22/05/2025
3,2141,11,22,33,44,55,3,260000,20/05/2025
3,2140,7,18,29,40,51,16,250000,17/05/2025
3,2139,3,14,25,36,47,9,240000,15/05/2025
3,2138,10,21,32,43,54,21,230000,13/05/2025
3,2137,6,17,28,39,50,13,220000,10/05/2025
3,2136,2,13,24,35,46,5,210000,08/05/2025
3,2135,9,20,31,42,53,18,200000,06/05/2025
3,2134,5,16,27,38,49,22,190000,03/05/2025
3,2133,1,12,23,34,45,7,180000,01/05/2025
