NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,R6,R7,BOLSA,FECHA
40,4081,4,11,22,28,33,50,24,30700000,11/07/2025
40,4080,5,11,24,25,37,44,12,30600000,09/07/2025
40,4079,4,19,37,39,44,48,36,30500000,06/07/2025
40,4077,14,19,24,35,54,55,29,30300000,02/07/2025
40,4076,13,15,20,41,44,45,49,30200000,29/06/2025
40,4075,8,12,15,18,20,34,44,30100000,27/06/2025
40,4074,9,18,26,44,47,51,3,30000000,25/06/2025
40,4073,5,19,21,34,42,53,3,228300000,22/06/2025
40,4072,13,14,17,25,44,47,22,224800000,20/06/2025
40,4071,6,11,19,29,33,38,42,221400000,18/06/2025
40,4070,20,25,42,43,44,55,14,218000000,15/06/2025
40,4069,3,8,21,32,33,52,36,214300000,13/06/2025
40,4068,3,16,29,35,43,45,47,210400000,11/06/2025
40,4067,2,8,32,38,49,50,30,207000000,08/06/2025
40,4066,12,14,24,46,54,55,4,202900000,06/06/2025
40,4065,30,39,40,45,50,54,5,197800000,04/06/2025
40,4064,6,7,11,13,23,26,17,195900000,01/06/2025
40,4063,11,18,24,25,27,52,26,192100000,30/05/2025
40,4062,9,25,27,29,51,56,44,188200000,28/05/2025
40,4061,5,12,18,20,32,38,13,185500000,25/05/2025
40,4060,11,18,19,22,24,53,51,182000000,23/05/2025
40,4059,3,4,8,11,29,47,14,178800000,21/05/2025
40,4058,2,26,29,35,36,45,4,175400000,18/05/2025
40,4057,3,25,33,36,49,53,27,171500000,16/05/2025
40,4056,5,9,10,31,32,39,47,167700000,14/05/2025
40,4055,4,12,14,38,41,44,40,164700000,11/05/2025
40,4054,3,12,21,23,27,52,34,161300000,09/05/2025
40,4053,4,33,35,39,49,52,21,157000000,07/05/2025
40,4052,3,4,12,14,18,49,39,154400000,04/05/2025
40,4051,4,8,25,26,32,55,34,150700000,02/05/2025
40,4050,1,6,10,35,45,53,22,146700000,30/04/2025
40,4049,12,16,40,42,45,51,19,143500000,27/04/2025
40,4048,5,7,13,19,29,31,50,140500000,25/04/2025
40,4047,11,27,28,40,42,52,51,136900000,23/04/2025
40,4046,1,8,30,42,44,46,20,134000000,20/04/2025
40,4045,6,23,24,34,40,53,25,130300000,18/04/2025
40,4044,4,7,12,29,33,42,41,127300000,16/04/2025
40,4043,15,32,36,38,43,51,22,124700000,13/04/2025
40,4042,5,9,15,38,41,53,7,121000000,11/04/2025
40,4041,20,28,30,36,53,56,26,116900000,09/04/2025
40,4040,2,20,25,34,49,56,13,113500000,06/04/2025
40,4039,2,30,39,43,54,56,12,109300000,04/04/2025
40,4038,26,28,31,50,55,56,37,105000000,02/04/2025
40,4037,9,17,21,25,35,42,27,102500000,30/03/2025
40,4036,1,4,19,23,34,36,37,98900000,28/03/2025
40,4035,18,29,34,39,41,55,43,94700000,26/03/2025
40,4034,13,28,29,35,50,51,34,91700000,23/03/2025
40,4033,2,6,10,28,32,44,23,88000000,21/03/2025
40,4032,13,20,38,41,45,54,14,84000000,19/03/2025
40,4031,8,12,23,30,44,45,36,81700000,16/03/2025
40,4030,1,6,13,21,27,47,49,78700000,14/03/2025
40,4029,1,11,15,25,44,45,6,75300000,12/03/2025
40,4028,6,21,30,39,43,51,17,72300000,09/03/2025
40,4027,16,18,30,38,41,47,29,68300000,07/03/2025
40,4026,8,38,39,45,50,51,29,63900000,05/03/2025
40,4025,8,9,23,24,29,47,38,61300000,02/03/2025
40,4024,2,34,38,50,53,54,51,57000000,28/02/2025
40,4023,5,21,23,40,46,56,43,53300000,26/02/2025
40,4022,8,14,31,37,42,44,34,50700000,23/02/2025
40,4021,12,13,14,15,31,46,43,47300000,21/02/2025
40,4020,20,31,34,41,45,54,42,43000000,19/02/2025
40,4019,37,40,45,49,51,55,18,40000000,16/02/2025
40,4018,5,11,14,29,44,45,10,37300000,14/02/2025
40,4017,3,10,25,35,47,52,49,33700000,12/02/2025
40,4016,2,10,14,15,21,26,45,30900000,09/02/2025
40,4015,3,9,28,41,48,52,35,30700000,07/02/2025
40,4014,9,14,27,28,30,45,17,30600000,05/02/2025
40,4013,9,24,26,35,43,45,46,30500000,02/02/2025
40,4012,5,9,12,24,50,55,31,30400000,31/01/2025
40,4011,9,17,18,21,44,47,11,30300000,29/01/2025
40,4010,3,4,13,28,40,45,49,30200000,26/01/2025
40,4009,1,5,9,15,17,39,24,30100000,24/01/2025
40,4008,3,19,21,23,35,43,51,30000000,22/01/2025
40,4007,14,16,19,23,48,54,38,144000000,19/01/2025
40,4006,18,19,23,27,36,53,25,140000000,17/01/2025
40,4005,15,21,23,24,28,49,51,136000000,15/01/2025
40,4004,11,18,21,28,52,53,54,133000000,12/01/2025
40,4003,3,19,30,35,36,55,16,129300000,10/01/2025
40,4002,4,12,14,26,47,56,5,124500000,08/01/2025
40,4001,1,4,21,31,34,38,26,121000000,05/01/2025
40,4000,7,19,32,43,46,49,2,117300000,03/01/2025
40,3999,5,15,19,20,44,46,35,112700000,01/01/2025
40,3998,5,7,18,20,29,42,31,109700000,29/12/2024
40,3997,12,23,29,31,47,48,26,106300000,27/12/2024
40,3996,1,2,16,21,43,46,19,103000000,25/12/2024
40,3995,7,24,36,39,40,48,11,99700000,22/12/2024
40,3994,15,27,30,33,39,49,25,95700000,20/12/2024
40,3993,24,32,35,40,42,46,34,91000000,18/12/2024
40,3992,4,7,11,23,49,56,38,88700000,15/12/2024
40,3991,5,13,17,19,20,35,4,85000000,13/12/2024
40,3990,8,10,35,37,41,50,56,80900000,11/12/2024
40,3989,7,8,15,34,42,48,18,78300000,08/12/2024
40,3988,15,16,24,28,39,46,50,74300000,06/12/2024
40,3987,6,9,10,30,44,56,2,70300000,04/12/2024
40,3986,3,7,13,39,40,42,19,67900000,01/12/2024
40,3985,8,11,15,19,46,50,37,64000000,29/11/2024
40,3984,10,11,31,35,44,51,27,60300000,27/11/2024
40,3983,8,9,28,38,42,48,14,57500000,24/11/2024
40,3982,1,18,19,23,25,26,9,54300000,22/11/2024
40,3981,1,13,21,23,27,55,53,51300000,20/11/2024
40,3980,22,24,25,26,55,56,10,48300000,17/11/2024
40,3979,5,9,16,29,49,56,27,44500000,15/11/2024
40,3978,29,33,39,49,55,56,6,40500000,13/11/2024
40,3977,4,16,36,44,51,54,10,37500000,10/11/2024
40,3976,4,15,17,24,35,54,25,34300000,08/11/2024
40,3975,10,15,20,24,28,55,22,30900000,06/11/2024
40,3974,2,4,16,23,31,45,36,30800000,03/11/2024
40,3973,3,5,17,24,37,56,23,30700000,01/11/2024
